Month,S&P 500,Fixed Income,Gold,Private Credit,Real Estate,Private Equity
1/30/15,1994.99,1955.02,1283.79,933.11,317.41,1744.85
2/27/15,2104.5,1936.64,1213.18,987.22,308.89,1903.96
3/31/15,2067.89,1945.63,1183.57,979.69,310.75,1854.04
4/30/15,2085.51,1938.65,1184.37,989.7,295.33,1890.64
5/29/15,2107.39,1933.98,1190.58,989.64,293.95,1925.25
6/30/15,2063.11,1912.89,1172.35,951.86,279.76,1868.26
7/31/15,2103.84,1926.19,1095.8,930.94,292.92,1972.87
8/31/15,1972.18,1923.42,1134.93,921.65,275.43,1787.97
9/30/15,1920.03,1936.43,1115.09,866.34,278.15,1709.81
10/30/15,2079.36,1936.76,1142.11,887.4,295.16,1979.8
11/30/15,2080.41,1931.64,1064.77,922.29,293.78,1976.78
12/31/15,2043.94,1925.4,1061.1,879.31,295.06,1927.41
1/29/16,1940.24,1951.89,1118.21,821.6,282.85,1742.89
2/29/16,1932.23,1965.74,1238.67,819.13,280.14,1709.8
3/31/16,2059.74,1983.77,1232.75,885.22,307.21,1892.82
4/29/16,2065.3,1991.39,1293.53,910.86,301.54,1877.72
5/31/16,2096.96,1991.9,1215.32,909.18,307.91,1938.2
6/30/16,2098.86,2027.69,1321.9,927.83,324.84,1935.77
7/29/16,2173.6,2040.51,1351.28,984.01,336.63,2027.11
8/31/16,2170.95,2038.18,1308.97,1030.98,324.67,2032.15
9/30/16,2168.27,2036.98,1315.87,1018.23,318.03,2035.99
10/31/16,2126.15,2021.4,1277.21,1004.38,301.88,1997.61
11/30/16,2198.81,1973.59,1173.2,1043.01,294.53,2062.68
12/30/16,2238.83,1976.37,1147.5,1057.54,304.84,2093.04
1/31/17,2278.87,1980.25,1210.72,1082.03,305.2,2149.71
2/28/17,2363.64,1993.56,1248.44,1112.28,317.97,2243.78
3/31/17,2362.72,1992.51,1249.2,1114.96,311.62,2248.05
4/28/17,2384.2,2007.89,1268.28,1123.35,312.92,2282.2
5/31/17,2411.8,2023.34,1268.92,1082.06,312.17,2320.59
6/30/17,2423.41,2021.31,1241.61,1088.5,316.44,2310.21
7/31/17,2470.3,2030.01,1269.44,1105.31,319.89,2350.15
8/31/17,2471.65,2048.21,1321.43,1072.59,321.38,2355.2
9/29/17,2519.36,2038.46,1279.75,1100.07,316.91,2437.14
10/31/17,2575.26,2039.64,1271.45,1083.49,316.76,2538.38
11/30/17,2647.58,2037.02,1275.01,1064.69,324.12,2683.99
12/29/17,2673.61,2046.37,1302.8,1054.07,321.69,2752.87
1/31/18,2823.81,2022.8,1345.14,1047.61,312.15,2986.46
2/28/18,2713.83,2003.63,1318.31,1018.49,290.68,2766.64
3/30/18,2640.87,2016.48,1325.48,1036.72,299.62,2621.51
4/30/18,2648.05,2001.48,1315.39,1059.45,299.87,2627.48
5/31/18,2705.27,2015.76,1298.51,1081.34,309.06,2721.97
6/29/18,2718.37,2013.28,1252.6,1078.22,319.48,2722.91
7/31/18,2816.29,2013.76,1224.15,1103.52,321.91,2882.2
8/31/18,2901.52,2026.72,1201.15,1124.01,328.87,3023.05
9/28/18,2913.98,2013.67,1190.88,1115.01,318.33,3056.9
10/31/18,2711.74,1997.76,1214.76,1064.81,309.24,2670.15
11/30/18,2760.17,2009.68,1220.52,1061.04,323,2758.71
12/31/18,2506.85,2046.6,1282.49,978.81,295.97,2425.77
1/31/19,2704.1,2068.34,1321.25,1088.52,329.45,2699.58
2/28/19,2784.49,2067.14,1313.32,1112.94,331.42,2817.51
3/29/19,2834.4,2106.83,1292.38,1099.86,343.33,2831.09
4/30/19,2945.83,2107.37,1283.53,1137.9,342.66,2961.13
5/31/19,2752.06,2144.78,1305.58,1100.3,341.92,2626.64
6/28/19,2941.76,2171.71,1409.55,1123.75,346.08,2963.44
7/31/19,2980.38,2176.49,1413.78,1139.87,351.98,3009.02
8/30/19,2926.46,2232.89,1520.38,1109.92,363.42,2929.95
9/30/19,2976.74,2221,1472.49,1133.18,368.02,3047.6
10/31/19,3037.56,2227.69,1512.99,1123.8,370.72,3028.58
11/29/19,3140.98,2226.55,1463.98,1148.21,366.19,3195.97
12/31/19,3230.78,2225,1517.27,1164.81,367.38,3333.06
1/31/20,3225.52,2267.82,1589.16,1176.46,372.57,3315.9
2/28/20,2954.22,2308.64,1585.69,1068.52,346.06,2765.29
3/31/20,2584.59,2295.05,1577.18,690.8,275.16,2226.72
4/30/20,2912.43,2335.85,1686.5,793.85,299.62,2696.13
5/29/20,3044.31,2346.72,1730.27,852.67,304.82,2867
6/30/20,3100.29,2361.51,1780.96,852.95,310.65,2958.69
7/31/20,3271.12,2396.78,1975.86,859.14,323.24,3262.75
8/31/20,3500.31,2377.43,1967.8,893.48,323.53,3793.31
9/30/20,3363,2376.13,1885.82,890.65,314.37,3468.78
10/30/20,3269.96,2365.52,1878.81,859.51,304.78,3254.51
11/30/20,3621.63,2388.73,1776.95,1018.39,329.4,3959.55
12/31/20,3756.07,2392.02,1898.36,1040.47,335.7,4187.76
1/29/21,3714.24,2374.87,1847.65,1077.92,334.49,4117.65
2/26/21,3811.15,2340.58,1734.04,1161,341.47,4248.91
3/31/21,3972.89,2311.35,1707.71,1203.71,359.01,4382.76
4/30/21,4181.17,2329.61,1769.13,1266.45,387.37,4581.34
5/31/21,4204.11,2337.22,1906.87,1287.51,390.87,4571.84
6/30/21,4297.5,2353.64,1770.11,1299.83,397.98,4656.03
7/30/21,4395.26,2379.96,1814.19,1295.53,416.28,4748.26
8/31/21,4522.68,2375.43,1813.62,1319.48,424.54,4938.55
9/30/21,4307.54,2354.86,1756.95,1312.2,398.58,4554.84
10/29/21,4605.38,2354.21,1783.38,1369.31,426.51,5101.14
11/30/21,4567,2361.18,1774.52,1355.4,416.38,5169.57
12/31/21,4766.18,2355.14,1829.2,1359.41,453.47,5434.2
1/31/22,4515.55,2304.4,1797.17,1362.76,416.27,4736.01
2/28/22,4373.94,2278.69,1908.99,1341.36,396.83,4449.85
3/31/22,4530.41,2215.38,1937.44,1359.13,420.81,4748.81
4/29/22,4131.93,2131.31,1896.93,1305.57,403.64,3851.25
5/31/22,4132.15,2145.05,1837.35,1258.76,385.6,3845.79
6/30/22,3785.38,2111.4,1807.27,1170.35,356.8,3396.14
7/29/22,4130.29,2162.99,1765.94,1251.87,388.12,3796.83
8/31/22,3955,2101.88,1711.04,1244.26,365.28,3598.15
9/30/22,3585.62,2011.06,1660.61,1089.63,317.01,3167.51
10/31/22,3871.98,1985.01,1633.56,1158.75,326.46,3635
11/30/22,4080.11,2058.01,1768.52,1224.97,346.51,3904.16
12/30/22,3839.5,2048.73,1824.02,1167.35,327.76,3745.81
1/31/23,4076.6,2111.76,1928.36,1257.76,360.2,3809.37
2/28/23,3970.15,2057.16,1826.92,1259.23,338.1,3536.41
3/31/23,4109.31,2109.41,1969.28,1205.32,329.7,3458.49
4/28/23,4169.48,2122.2,1990,1207.92,332.15,3593.53
5/31/23,4179.83,2099.09,1962.73,1188.17,318.38,3226.24
6/30/23,4450.38,2091.6,1919.35,1248.68,334.21,3535.24
7/31/23,4588.96,2090.15,1965.09,1321.28,339.81,3724.68
8/31/23,4507.66,2076.8,1940.19,1312.17,328.75,3620.38
9/29/23,4288.05,2024.02,1848.63,1317.01,302.72,3275.16
10/31/23,4193.8,1992.08,1983.88,1251.11,291.38,3126.96
11/30/23,4567.8,2082.29,2036.41,1328.47,326.66,3655.02
12/29/23,4769.83,2162,2062.98,1382.63,353.42,3910.47
1/31/24,4845.65,2156.06,2039.52,1405.02,335.87,4047.35
2/29/24,5096.27,2125.6,2044.3,1408.98,342.5,4405.55
3/29/24,5254.35,2145.23,2229.87,1431.68,346.13,4636.64
4/30/24,5035.69,2091.04,2286.25,1436.89,317.24,4286.28
5/31/24,5277.51,2126.49,2327.33,1478.05,332.48,4547.66
6/28/24,5460.48,2146.63,2326.75,1473.99,336.79,4797.83
7/31/24,5522.3,2196.77,2447.6,1491.29,361.59,4856.81
8/30/24,5648.4,2228.33,2503.39,1466.3,380.9,5001.46
9/30/24,5762.48,2258.17,2634.58,1468.34,391.07,5150.1
10/31/24,5705.45,2202.17,2743.97,1457.96,376.82,5038.92
11/29/24,6032.38,2225.45,2643.15,1504.1,391.66,5458.17
12/31/24,5881.63,2189.03,2624.5,1481.1,357.16,5136.31